id	text	Anger	Disgust	Fear	Sadness	Joy	Surprise
amh_train_track1_1	ይቺን ሴትዮ ማነው ደግሞ የላከብን የቋንቋውን ጦርነት ከሀገራዊ ወደ አፍሪካዊ ከፍ ልታረገው አስባ ይመስላል	1	1	0	0	0	0
amh_train_track1_2	ለመንግስት ቁዋሚ ተጠሪ ሆነዋል ሃጂ ልጅዎት የተገደለው ባለው መንግስት ነው ጥሩ መንግስትና ስርአት ቢኖር ኖሮ ልጅዎት ታግቶ ለሞት አይበቃም ነበር ነገ በርስዎ ይመጣል	1	0	0	0	0	0
amh_train_track1_3	በጣም አስቀያሚ ፊልም የፊልሙ አስቀያሚ ጉሩሩ በሰው ድካም የምትገባ የማትረባ ናት ጉልፈን መጨረሻ ያዛዝናልአይገባትም ነበር	0	1	0	1	0	0
amh_train_track1_4	ሌላ ብሄር የሌለበት የአንድ ብሄር የፅንፈኛ ስብስብ ያሳፍራል የኢትዮጵያዊነት እና የሃይማኖት ጭምብል!በአንድ ብሄር የተደራጁ የፅንፈኞች	0	1	0	0	0	0
amh_train_track1_5	አዬ እስማኤል ጥፍሯ አለ አይ ፍቅር እውር እኮ ነው ይሄ የማይረባ አሰቃየን እኮ	0	1	0	0	0	0
amh_train_track1_6	እሷ ማነች አርቲስት አይደለች እንዴ በጣም ያሳዝናል ትንቢት ተናጋሪ ነኝ ማለትሽ ከሆነ ሀሰተኛ ነብይ ነኝ ባዮች ይነሳሉ ጌታ ስላለ ቃሉ ሊፈፀም የግድ ነው ማስተዋል ይስጥሽ	0	0	0	1	0	0
amh_train_track1_7	በአሜሪካዋ ከተማ ካንሳስ በስፖርታዊ ዝግጅት ላይ በተከፈተ ተኩስ አንድ ሰው ሲገደል 21 ቆሰሉ	0	0	0	1	0	0
amh_train_track1_8	አለም ምንያህ ኢፍትሀዊ ዲሞክራሲን የሚያቀነቅኑ የምእራባዊያን ሀገራትም ምንያህል መናፊቅ አታላይና ቀጣፊ ጨካኝና አረመኔ እየሆኑ ነው? የኢራቅ የፊሊስቲን የአፍጋንና የሌሎች ንፁሀን ደም መፍሰስ የሀገራት መፍረስ በቀጥታ ተሳታፊዎች ናቸው አሁን በፍፁም ስለ ፖለስታየን ንፁሀን ደም እዲፈስ ይተባበራሉ ስለገዳይ አረመኔ እስራኤል ያነባሉ	0	1	0	0	0	0
amh_train_track1_9	Semira Hesen ፕራንክ ነው እዳይል ነው የፈራሁለት😂	0	0	1	0	0	0
amh_train_track1_10	ወደ ሞት ጉዞ: የኢትዮጵያውያን የስደት ጉዞ በጂቡቲ በረሃ	0	0	0	1	0	0
amh_train_track1_11	ድንገቴዎች፣ አሁን ድንገት ትዝ አላቹ እስከ ዛሬ የት ነበራቹ? የአንድ ሳንቲም አምሳያዎች ሁላ!?	1	0	0	0	0	0
amh_train_track1_12	ይሄንን አባት በዚህ ሚዲያ ድጋሚ ነው ወይም የበፊቱን ነው ድጋሚ ያቀረባችሁት የልጁ ሀዘን የጎዳው አንሶ ደጋግማችሁ ልቡን አትስበሩት እግዚአብሔር ያበርታው የልጁን ነፍስ በገነት ያኑረው	0	0	0	1	0	0
amh_train_track1_13	ሃይማኖታችን ሃይማኖት እንጂ ሃገር አይደለችም! የመፈክር አመክንዮ እዛው።	1	0	0	0	0	0
amh_train_track1_14	ለምን የሌለንንን ባሕሪ እናደርጋለን ምን ያሕል ልቧን እንደስበርካት እንዳንድ ስዎች ለምን ይሕን ነገር ትጠቀማላችሑ ለናንተ ፕራንክ አላችሑት ሚስትሕ ግን ልቧን ከስበርክ በሖላ ጥሩ ኑሮ ምትኖሩ ይመስላችሖል በተለይ ለታማኝ ሚስት ወይም ባል ይሕ ነገር እይታስብም ቀዳዳዳ መፍጠር ማለት ነው በትዳራችሑ እና እስቡበት	0	0	0	1	0	0
